,carat,cut,color,clarity,depth,table,price,x,y,z,set
14033,1.02,Premium,F,VS2,63,60,5704,6.41,6.35,4.02,0
29612,0.27,Very Good,G,VS2,61.5,57,439,4.18,4.22,2.58,0
34946,0.3,Good,H,SI2,63.9,57,378,4.24,4.27,2.72,0
6813,1.01,Fair,E,SI2,55.2,65,4118,6.78,6.67,3.71,0
31941,0.3,Ideal,F,VS2,61.1,56,776,4.33,4.31,2.64,0
24058,0.26,Premium,E,VVS1,60.9,59,635,4.09,4.12,2.5,0
40768,0.4,Ideal,E,VVS2,62.4,59,1166,4.7,4.73,2.94,0
36737,0.32,Ideal,E,VVS1,61.9,55,954,4.38,4.41,2.72,0
2257,0.77,Very Good,H,VS1,62.2,57,3152,5.81,5.86,3.63,0
24222,1.75,Premium,I,VS1,60.6,60,12416,7.8,7.84,4.74,0
25251,2.21,Premium,H,SI2,59,59,13872,8.51,8.46,5.01,0
11939,1.03,Premium,H,SI1,62.5,59,5129,6.46,6.41,4.02,0
5382,0.34,Premium,I,SI1,62.7,58,574,4.43,4.4,2.77,0
36861,0.42,Ideal,E,VS2,62.4,55,958,4.79,4.83,3,0
44657,0.35,Premium,G,SI1,60.3,60,522,4.57,4.59,2.76,0
44129,0.51,Very Good,G,VS1,63.3,56,1560,5.05,5.08,3.21,0
3467,0.85,Ideal,I,SI1,61.4,56,3392,6.06,6.12,3.74,0
52327,0.73,Ideal,I,VVS2,62.3,55,2496,5.76,5.77,3.59,0
236,0.7,Very Good,H,VVS1,60.5,60,2788,5.74,5.77,3.48,0
27987,0.3,Ideal,E,VS2,62.1,55,658,4.28,4.32,2.67,0
53091,0.71,Premium,E,VS2,62.4,60,2613,5.68,5.66,3.54,0
20970,1.36,Very Good,H,VS1,59.9,58,9178,7.16,7.2,4.3,0
34645,0.31,Ideal,E,VS2,61.9,55,872,4.38,4.34,2.7,0
8068,0.31,Good,G,VS1,63.3,57,583,4.28,4.31,2.72,0
48401,0.71,Premium,J,VS2,60.1,61,1968,5.82,5.77,3.48,0
38871,0.4,Premium,F,VS1,61.1,59,1050,4.75,4.71,2.89,0
18366,0.37,Very Good,F,SI1,62.3,59,616,4.57,4.61,2.86,0
48056,0.73,Premium,I,SI2,62,57,1927,5.79,5.76,3.58,0
7153,1.04,Very Good,F,SI2,62.3,58,4181,6.44,6.5,4.03,0
47350,0.5,Ideal,D,VS2,62.8,56,1845,5.08,5.04,3.18,0
13514,1.01,Premium,D,SI1,62.6,58,5543,6.44,6.33,4,0
22732,1,Fair,D,VVS1,56.7,68,10752,6.66,6.64,3.77,0
39591,0.46,Ideal,H,VS2,62.2,54,1083,4.95,4.97,3.09,0
27686,3.01,Premium,J,SI2,59.7,58,18710,9.41,9.32,5.59,0
19855,1.2,Ideal,G,VS2,62.8,54,8414,6.75,6.79,4.25,0
33437,0.32,Ideal,G,VS1,61.2,57,828,4.43,4.4,2.7,0
35002,0.42,Premium,G,SI1,60.6,62,882,4.85,4.82,2.93,0
29892,0.3,Ideal,D,VS2,61.8,55,710,4.3,4.34,2.67,0
43695,0.5,Very Good,F,VS2,63,58,1436,5.05,5.08,3.19,0
12474,0.77,Ideal,E,VVS1,61.6,55,5251,5.87,5.95,3.64,0
23544,1.73,Very Good,I,SI1,60.9,59,11554,7.71,7.68,4.69,0
228,0.84,Fair,G,SI1,55.1,67,2782,6.39,6.2,3.47,0
26469,2.28,Very Good,I,SI2,62.9,57,16041,8.34,8.41,5.27,0
49881,0.7,Premium,H,SI1,60.3,55,2176,5.8,5.75,3.48,0
31564,0.31,Ideal,D,VVS2,61.6,56,766,4.34,4.38,2.69,0
14006,1.2,Premium,F,SI2,61.9,59,5699,6.86,6.74,4.21,0
51909,0.72,Ideal,D,SI2,62.3,57,2435,5.75,5.8,3.6,0
33160,0.31,Premium,H,IF,61.7,58,816,4.33,4.36,2.68,0
52884,0.73,Ideal,G,SI1,62,54,2583,5.81,5.84,3.61,0
21348,1,Very Good,F,VVS1,61.7,57,9492,6.39,6.41,3.95,0
27983,0.3,Very Good,E,VS2,62.6,58,658,4.25,4.28,2.67,0
35052,0.42,Ideal,I,VVS1,62,55,884,4.8,4.88,3,0
32082,0.33,Very Good,E,VS1,61.6,56,781,4.43,4.46,2.74,0
29256,0.32,Ideal,H,VVS1,61.4,55,698,4.4,4.46,2.72,0
53469,0.9,Good,I,SI2,60.9,63,2680,6.13,6.21,3.76,0
17663,1.02,Ideal,D,VS1,62.7,55,7118,6.49,6.4,4.04,0
27828,0.39,Premium,H,SI1,62,60,650,4.65,4.71,2.9,0
2968,0.91,Very Good,D,SI2,62.7,59,3298,6.16,6.22,3.88,0
22516,1.51,Ideal,G,VS2,62.8,57,10553,7.33,7.26,4.58,0
19124,1.5,Very Good,H,SI2,63,58,7888,7.2,7.25,4.55,0
32743,0.31,Premium,G,VS1,62,59,802,4.3,4.28,2.66,0
28018,0.3,Ideal,E,VS2,60.2,57,658,4.36,4.38,2.63,0
14644,1,Premium,H,VVS2,61.4,59,5914,6.49,6.45,3.97,0
43757,0.41,Ideal,F,IF,61.9,56,1439,4.77,4.79,2.96,0
30431,0.32,Very Good,H,VVS1,62.9,58,730,4.34,4.37,2.74,0
17854,1.16,Ideal,G,VS2,62.3,57,7203,6.72,6.66,4.17,0
25093,2.15,Very Good,J,SI1,62.4,60,13622,8.18,8.24,5.12,0
22469,1.6,Very Good,I,VS2,60,60,10497,7.55,7.59,4.54,0
31119,0.37,Ideal,I,IF,60.7,56,754,4.64,4.68,2.83,0
35295,0.3,Premium,H,VS2,62.5,59,473,4.23,4.28,2.66,0
316,0.96,Ideal,F,I1,60.7,55,2801,6.37,6.41,3.88,0
33400,0.4,Ideal,I,VS1,62,54,828,4.72,4.75,2.94,0
1727,0.32,Good,G,VS2,63.1,57,561,4.3,4.35,2.73,0
33731,0.35,Ideal,H,VVS1,60.5,57,839,4.58,4.59,2.77,0
33796,0.4,Premium,F,VS2,60.7,60,842,4.75,4.8,2.9,0
37712,0.34,Premium,H,VVS1,61.2,60,995,4.5,4.46,2.74,0
11469,1.13,Premium,E,SI1,62.7,57,5012,6.65,6.62,4.16,0
47679,0.51,Ideal,D,VS2,61.9,57,1882,5.13,5.11,3.17,0
22076,1.51,Ideal,H,SI1,61.9,58,10096,7.33,7.37,4.55,0
31201,0.32,Ideal,D,SI1,59.3,55,756,4.53,4.51,2.68,0
32777,0.34,Premium,D,SI1,62.4,58,803,4.46,4.42,2.77,0
14037,1.25,Ideal,H,SI2,61.2,57,5706,6.89,6.93,4.23,0
27364,0.28,Premium,E,VVS2,60.1,59,646,4.22,4.26,2.55,0
53064,0.72,Ideal,H,VS1,61.9,56,2608,5.78,5.73,3.56,0
46523,0.51,Ideal,G,VS1,61,55,1781,5.21,5.11,3.15,0
31673,0.26,Ideal,F,VVS1,62.4,56,769,4.11,4.1,2.56,0
16976,1.38,Premium,G,SI2,59.2,59,6779,7.35,7.29,4.33,0
6648,1.11,Ideal,J,SI2,61.7,57,4092,6.63,6.69,4.11,0
45587,0.52,Ideal,E,VS2,61.9,56,1689,5.12,5.16,3.18,0
7799,1.04,Good,E,SI2,62.3,62,4290,6.4,6.44,4,0
49346,0.71,Premium,H,SI1,62.1,58,2096,5.72,5.75,3.56,0
37756,0.38,Premium,F,VS1,62.4,59,998,4.63,4.57,2.87,0
46913,0.65,Very Good,F,SI1,60,63,1814,5.62,5.54,3.35,0
43052,0.41,Ideal,D,VVS1,61.7,55,1376,4.77,4.8,2.95,0
14589,1,Ideal,G,VS2,62.3,56,5887,6.43,6.32,3.97,0
8719,0.32,Ideal,F,SI1,60.9,55,586,4.46,4.53,2.72,0
19575,1.09,Premium,F,VS1,60.9,58,8204,6.67,6.63,4.05,0
42832,0.61,Very Good,I,SI1,63.4,55,1356,5.39,5.43,3.43,0
23060,1.25,Premium,E,VS1,61.5,59,11088,6.95,6.91,4.26,0
21703,0.35,Ideal,I,VVS1,61.8,55,627,4.53,4.56,2.81,0
18640,1,Very Good,E,VS2,61,59,7607,6.41,6.48,3.93,0
15227,1.25,Very Good,H,SI1,62.4,55,6113,6.85,6.89,4.29,0
30549,0.31,Ideal,D,VS2,61.5,56,734,4.35,4.36,2.68,0
4588,0.8,Ideal,F,VS2,62,55,3653,5.93,6,3.7,0
41497,0.37,Ideal,D,VVS1,62,56,1233,4.59,4.6,2.85,0
20790,1.5,Good,F,SI2,61.2,63,9028,7.33,7.41,4.51,0
1543,0.7,Very Good,D,VS1,63.4,59,3001,5.58,5.55,3.53,0
50056,0.6,Ideal,F,VS1,61.9,55,2201,5.4,5.42,3.35,0
20945,1.26,Very Good,G,VVS2,62.1,58,9158,6.92,6.83,4.27,0
52321,0.5,Very Good,E,VVS1,60.1,56,2495,5.16,5.19,3.11,0
27769,0.32,Premium,H,VS2,61.4,60,648,4.41,4.39,2.7,0
25017,2.22,Premium,F,SI2,59.2,59,13553,8.54,8.46,5.03,0
46441,0.6,Very Good,F,VS2,62.1,57,1772,5.37,5.39,3.34,0
50594,0.77,Premium,F,SI2,62.2,58,2282,5.9,5.85,3.66,0
43810,0.51,Ideal,G,VS2,62,56,1443,5.18,5.11,3.19,0
46693,0.56,Ideal,E,VS1,62.3,57,1791,5.3,5.26,3.29,0
30773,0.38,Ideal,H,VS2,62.2,57,741,4.61,4.66,2.89,0
16023,0.3,Premium,I,VS1,60.4,58,608,4.4,4.34,2.64,0
45721,0.55,Premium,F,VS2,62.2,58,1698,5.26,5.22,3.26,0
35288,0.36,Premium,G,SI2,60.8,58,473,4.57,4.61,2.79,0
27986,0.3,Ideal,E,VS2,62,55,658,4.27,4.31,2.66,0
33345,0.41,Premium,G,VS2,62.4,58,827,4.72,4.76,2.96,0
1736,0.32,Very Good,G,VS2,62.6,58,561,4.37,4.39,2.74,0
14518,1.01,Premium,G,VS2,61.2,58,5864,6.49,6.46,3.96,0
20283,1.05,Premium,G,VVS2,59.5,61,8702,6.69,6.63,3.96,0
24664,2.1,Fair,G,SI2,65.2,56,13007,7.97,7.93,5.19,0
22477,1.62,Ideal,I,VS2,62.1,55,10501,7.53,7.58,4.69,0
9488,1.01,Very Good,D,SI2,62.7,58,4606,6.31,6.39,3.98,0
19943,1.24,Ideal,H,VVS1,62.3,54,8489,6.88,6.9,4.29,0
35042,0.32,Ideal,E,VVS2,61.1,55,883,4.41,4.46,2.71,0
4384,0.31,Very Good,D,SI1,62.9,57,571,4.27,4.32,2.7,0
9787,1.01,Very Good,E,SI2,59.5,59,4666,6.54,6.58,3.9,0
24944,2.01,Premium,J,VS2,60.5,60,13400,8.13,8.09,4.91,0
2455,0.73,Ideal,D,SI1,61.8,56,3189,5.8,5.76,3.57,0
30575,0.31,Very Good,D,VS2,61.8,57,734,4.36,4.41,2.71,0
6177,0.9,Premium,F,SI1,61.6,60,3992,6.19,6.14,3.8,0
3690,0.9,Very Good,H,SI1,61,59,3447,6.11,6.16,3.74,0
22192,1.37,Very Good,G,VS1,58.3,60,10226,7.3,7.35,4.27,0
35338,0.32,Ideal,G,IF,61.4,55,898,4.42,4.44,2.72,0
36797,0.34,Premium,E,VS2,62.6,58,956,4.45,4.43,2.78,0
30346,0.36,Premium,E,VS1,61.5,59,727,4.57,4.6,2.82,0
45657,0.25,Very Good,E,VVS1,60.1,57,526,4.08,4.11,2.46,0
26462,2.02,Ideal,I,VS2,61.5,58,16018,8.19,8.11,5.01,0
20203,1.02,Premium,G,IF,61.8,59,8643,6.46,6.41,3.98,0
48016,0.5,Premium,E,VS2,60.3,58,1920,5.15,5.13,3.1,0
819,0.72,Premium,E,SI1,60.9,60,2863,5.78,5.74,3.51,0
23708,0.4,Good,J,VS1,63.4,58,631,4.61,4.64,2.93,0
5561,1,Premium,F,SI2,61.7,58,3858,6.36,6.32,3.91,0
4627,0.91,Premium,E,SI1,62.2,58,3665,6.29,6.18,3.86,0
43491,0.51,Premium,F,SI1,61.4,59,1421,5.13,5.13,3.16,0
27782,0.32,Very Good,H,VS2,63.1,55,648,4.36,4.33,2.74,0
43214,0.57,Ideal,F,SI1,61.6,56,1397,5.36,5.33,3.29,0
33582,0.38,Ideal,G,VS1,61.3,55.8,832,4.65,4.71,2.87,0
14107,1.03,Premium,H,VS2,61.8,58,5722,6.48,6.43,3.99,0
29068,0.4,Very Good,E,SI1,63,57,687,4.65,4.68,2.94,0
47264,0.7,Ideal,J,VS2,61.6,56,1843,5.65,5.71,3.5,0
32841,0.29,Premium,E,VVS1,60.9,61,807,4.27,4.23,2.59,0
47694,0.5,Ideal,G,VVS1,62.2,55,1883,5.09,5.11,3.17,0
45809,0.52,Good,F,VS1,61.2,62,1710,5.12,5.05,3.11,0
19722,1.21,Premium,G,VS2,60.3,60,8294,6.89,6.83,4.14,0
11464,1.01,Very Good,F,SI1,62.8,60,5010,6.32,6.38,3.99,0
22363,0.31,Premium,H,VS2,61.3,60,628,4.36,4.32,2.66,0
18238,1.53,Very Good,I,SI2,61.6,56,7406,7.39,7.45,4.57,0
47233,0.71,Fair,I,VS2,61.6,67,1840,5.76,5.61,3.5,0
16439,1.23,Very Good,I,VS1,63.1,58,6564,6.77,6.91,4.32,0
41022,0.44,Very Good,F,VVS1,62.1,60,1187,4.84,4.92,3.03,0
48094,0.62,Premium,G,VS1,59.8,58,1933,5.55,5.58,3.33,0
41093,0.42,Very Good,H,VVS1,62.2,56,1193,4.78,4.81,2.98,0
47844,0.53,Ideal,F,VS1,62.2,55,1908,5.22,5.17,3.23,0
13774,0.93,Very Good,E,VS2,61.4,58,5616,6.22,6.29,3.84,0
25853,2.06,Good,I,SI1,59,64,14920,8.39,8.13,4.89,0
11664,0.91,Premium,E,VS2,61.1,58,5055,6.28,6.2,3.81,0
12091,1.06,Very Good,G,SI1,63.4,58,5163,6.44,6.47,4.09,0
17664,1.32,Very Good,H,SI1,62.4,58,7119,7.02,7.09,4.4,0
21614,1.22,Very Good,G,VVS2,59.3,58,9706,6.97,6.99,4.14,0
33979,0.41,Very Good,I,VVS1,63.1,58,847,4.68,4.74,2.97,0
40245,0.37,Ideal,D,VS2,61.3,56,1124,4.64,4.6,2.83,0
28107,0.36,Premium,D,SI1,61.5,59,663,4.52,4.55,2.79,0
38653,0.42,Ideal,D,SI1,61.5,56,1040,4.85,4.81,2.97,0
50758,0.56,Ideal,G,IF,61.8,54,2298,5.31,5.33,3.29,0
8926,0.9,Very Good,D,SI1,62.3,58,4497,6.14,6.16,3.83,0
30888,0.33,Premium,E,SI1,62,60,743,4.43,4.38,2.73,0
21110,1.21,Premium,F,VS1,60.1,58,9279,6.89,6.98,4.17,0
1470,0.9,Fair,E,SI2,65.8,59,2982,6.03,5.98,3.95,0
48385,0.72,Very Good,J,SI1,63,57,1966,5.69,5.74,3.6,0
12317,1.02,Very Good,F,SI1,62.2,56,5222,6.39,6.43,3.99,0
24469,1.7,Premium,I,VS1,59.8,59,12737,7.79,7.7,4.63,0
27584,2.29,Premium,J,IF,61.4,60,18426,8.45,8.49,5.2,0
38362,0.33,Ideal,F,VVS1,61.8,57,1021,4.46,4.44,2.75,0
30019,0.41,Very Good,D,SI1,63,57,717,4.64,4.7,2.94,0
3710,1,Premium,E,SI2,58.5,59,3450,6.62,6.51,3.84,0
14315,1.06,Ideal,E,SI1,61.6,56,5798,6.55,6.59,4.05,0
24300,1.47,Very Good,E,VS2,62.4,59,12547,7.13,7.2,4.47,0
23318,1.7,Premium,I,VS2,61.7,59,11360,7.68,7.63,4.72,0
26738,1.51,Premium,E,VS1,62.7,58,16518,7.25,7.33,4.57,0
42848,0.41,Premium,F,VVS1,61.8,59,1356,4.77,4.74,2.94,0
36033,0.41,Premium,G,SI1,60.3,59,923,4.79,4.76,2.88,0
10700,1.01,Very Good,F,SI1,63.5,59,4846,6.39,6.3,4.03,0
103,0.74,Ideal,G,SI1,61.6,55,2760,5.8,5.85,3.59,0
38052,0.31,Premium,E,VVS1,61.8,59,1012,4.33,4.31,2.67,0
31240,0.38,Ideal,G,VS2,61.9,54.1,757,4.66,4.69,2.89,0
6630,0.92,Good,D,SI1,63.6,57,4086,6.14,6.09,3.89,0
43708,0.46,Premium,E,VS1,61.7,59,1437,4.96,4.93,3.05,0
47386,0.54,Premium,E,VS2,59.2,58,1847,5.35,5.32,3.16,0
44948,0.5,Good,D,VS2,63.4,56,1635,5.05,5.1,3.22,0
17384,0.34,Premium,E,SI2,62.5,59,612,4.46,4.43,2.78,0
52865,0.73,Premium,D,SI1,62.5,59,2579,5.75,5.68,3.57,0
21240,1.59,Premium,H,SI2,62.6,59,9385,7.42,7.4,4.64,0
16565,1.01,Very Good,G,VS1,63.2,58,6618,6.38,6.34,4.02,0
9012,1.01,Premium,H,SI1,62.3,58,4513,6.42,6.35,3.98,0
48305,0.27,Ideal,I,VS2,62.1,56,534,4.14,4.18,2.58,0
41987,0.43,Ideal,G,VVS1,60.5,57,1264,4.92,4.86,2.96,0
7117,0.95,Premium,F,SI2,62.4,59,4171,6.26,6.21,3.89,0
51774,0.73,Premium,E,SI2,60.8,60,2409,5.87,5.78,3.54,0
17721,0.33,Very Good,H,VVS2,61.6,56,614,4.44,4.47,2.74,0
46341,0.5,Good,D,VS2,63.7,56,1758,5.09,5.05,3.23,0
44392,0.51,Very Good,E,VS1,58.1,60,1583,5.28,5.32,3.08,0
50483,0.7,Ideal,I,VS2,62.2,55,2268,5.73,5.69,3.55,0
5222,1.01,Premium,H,SI2,62.3,60,3782,6.39,6.32,3.96,0
7131,0.92,Very Good,H,VS2,63.1,57,4173,6.2,6.17,3.9,0
21194,1.51,Good,E,SI2,63.1,58,9343,7.28,7.31,4.6,0
25591,2,Fair,H,SI1,65.1,56,14430,7.86,7.77,5.09,0
4530,0.91,Very Good,E,SI2,60.3,59,3638,6.28,6.25,3.78,0
10343,1.06,Very Good,G,SI2,61,57,4769,6.58,6.61,4.02,0
49544,0.7,Good,F,SI1,63.1,56,2127,5.63,5.66,3.56,0
14614,1.29,Good,J,VS2,58.2,61,5898,7.07,7.12,4.13,0
18077,1.52,Fair,I,VVS2,64.9,56,7303,7.28,7.21,4.7,0
42991,0.55,Very Good,F,SI1,63.1,56,1368,5.22,5.24,3.3,0
314,0.61,Ideal,G,IF,62.3,56,2800,5.43,5.45,3.39,0
25277,1.52,Premium,F,VS2,60.9,61,13919,7.46,7.28,4.49,0
8903,1.08,Ideal,H,SI2,61.8,55,4491,6.57,6.6,4.07,0
12922,1,Good,E,VS2,64,58,5376,6.24,6.2,3.99,0
15519,1.22,Premium,I,VS2,60.3,59,6217,6.93,6.87,4.16,0
960,0.66,Ideal,G,VVS1,61.5,56,2890,5.61,5.58,3.44,0
21416,1.62,Premium,E,SI2,60.8,59,9526,7.62,7.57,4.62,0
12433,1,Premium,G,VS2,62.1,58,5242,6.43,6.39,3.98,0
48792,0.72,Premium,G,SI2,62.8,61,2022,5.68,5.59,3.54,0
25685,0.33,Very Good,G,VS1,61.2,57,643,4.46,4.49,2.73,0
13573,1.24,Premium,I,SI1,60.4,58,5555,7.02,6.95,4.22,0
36512,0.35,Ideal,F,VVS1,61.5,55,945,4.51,4.56,2.79,0
47888,0.59,Premium,D,SI1,62.3,54,1912,5.41,5.38,3.36,0
45112,0.53,Ideal,F,VS2,62.2,55,1650,5.16,5.19,3.22,0
45135,0.56,Premium,H,VS1,59.8,62,1653,5.36,5.31,3.19,0
36973,0.41,Ideal,H,VS1,61.8,56,962,4.78,4.73,2.94,0
20488,1.5,Premium,I,VS2,62.9,58,8820,7.17,7.08,4.48,0
41105,0.46,Very Good,E,VS2,62.1,57,1194,4.89,4.93,3.05,0
1008,0.79,Ideal,G,SI1,62.3,57,2898,5.9,5.85,3.66,0
14074,1.02,Very Good,D,SI1,62.7,60,5709,6.34,6.39,3.99,0
52239,0.78,Ideal,G,SI2,61.7,54,2485,5.93,5.97,3.67,0
12913,1.13,Premium,D,SI2,62,58,5376,6.68,6.64,4.13,0
13824,1.11,Ideal,H,VS2,64,58,5632,6.52,6.46,4.16,0
17768,1.51,Very Good,G,SI2,63.1,58,7154,7.23,7.19,4.55,0
11088,1.2,Ideal,J,VS2,62.3,57,4927,6.82,6.75,4.23,0
36848,0.37,Premium,F,VS2,61.2,60,957,4.63,4.59,2.82,0
22918,1.5,Very Good,H,VS2,62.8,57,10959,7.25,7.3,4.57,0
40282,0.3,Ideal,I,VVS2,62.2,56,495,4.25,4.3,2.66,0
7383,0.33,Ideal,G,VS2,62.6,57,579,4.45,4.47,2.79,0
38713,0.36,Ideal,D,VVS2,61.6,57,1042,4.56,4.59,2.82,0
28953,0.31,Good,H,SI1,63.6,57,435,4.28,4.31,2.73,0
25888,2.1,Premium,I,SI1,61.5,57,15007,8.25,8.21,5.06,0
13764,1.35,Good,I,VS2,59.2,65,5610,7.18,7.13,4.23,0
11168,1.07,Premium,G,SI1,60.5,62,4949,6.69,6.6,4.02,0
16035,0.3,Premium,I,VS1,61.7,59,608,4.3,4.26,2.64,0
44312,0.3,Premium,D,SI1,62.5,59,520,4.26,4.22,2.65,0
727,0.34,Good,E,SI1,63.4,55,556,4.44,4.46,2.82,0
21640,1.63,Good,I,SI1,63.7,58,9730,7.48,7.4,4.74,0
44788,0.5,Premium,E,VS2,61.3,60,1624,5.07,5.11,3.12,0
24803,2.1,Ideal,I,SI1,61.7,55,13182,8.21,8.13,5.04,0
48015,0.7,Fair,F,SI2,58.2,66,1920,5.77,5.74,3.35,0
35569,0.35,Ideal,F,VS2,62.1,56,906,4.57,4.54,2.83,0
10796,1.15,Premium,G,SI2,62.5,55,4861,6.72,6.68,4.19,0
46675,0.59,Premium,E,SI1,61.8,60,1789,5.39,5.33,3.31,0
18087,1.11,Premium,F,VS1,62.8,56,7310,6.62,6.57,4.14,0
15663,1.35,Ideal,J,SI1,62.3,57,6281,7.02,7.08,4.39,0
18746,1.24,Very Good,G,VS2,61.5,58,7660,6.89,6.94,4.25,0
12198,1.01,Premium,H,VS2,61,61,5190,6.47,6.39,3.92,0
15437,1.05,Premium,G,VS2,62.8,58,6181,6.48,6.44,4.06,0
20330,1.5,Premium,G,SI2,58.5,62,8736,7.44,7.4,4.34,0
